39151 39151
Precision: 0.8076009501187649
Recall: 0.8096844612026196
F-Measure: 0.808641363591319

Output_AnswerKey: ErrorCount	ErrorPercent
LOC_ORG: 225	0.15657620041753653
O_ORG: 351	0.24425887265135698
PER_ORG: 79	0.054975643702157274
LOC_O: 122	0.0848990953375087
O_LOC: 62	0.04314544189283229
O_PER: 52	0.03618649965205289
LOC_PER: 18	0.012526096033402923
PER_O: 69	0.04801670146137787
ORG_LOC: 115	0.08002783576896312
ORG_O: 287	0.19972164231036882
ORG_PER: 25	0.017397355601948505
PER_LOC: 32	0.022268615170494086
