16584 16584
Precision: 0.6268656716417911
Recall: 0.448
F-Measure: 0.5225505443234837

Output_AnswerKey: ErrorCount	ErrorPercent
LOC_ORG: 11	0.01971326164874552
O_ORG: 169	0.30286738351254483
PER_ORG: 10	0.017921146953405017
LOC_O: 8	0.014336917562724014
O_LOC: 77	0.13799283154121864
O_PER: 112	0.2007168458781362
LOC_PER: 2	0.0035842293906810036
PER_O: 44	0.07885304659498207
ORG_LOC: 18	0.03225806451612903
ORG_O: 92	0.16487455197132617
ORG_PER: 8	0.014336917562724014
PER_LOC: 7	0.012544802867383513
