15733 15733
Precision: 0.6455223880597015
Recall: 0.45646437994722955
F-Measure: 0.5347758887171561

Output_AnswerKey: ErrorCount	ErrorPercent
LOC_ORG: 1	0.0017605633802816902
O_ORG: 48	0.08450704225352113
PER_ORG: 7	0.01232394366197183
LOC_O: 9	0.01584507042253521
O_LOC: 52	0.09154929577464789
O_PER: 278	0.4894366197183099
LOC_PER: 5	0.008802816901408451
PER_O: 93	0.1637323943661972
ORG_LOC: 5	0.008802816901408451
ORG_O: 54	0.09507042253521127
ORG_PER: 7	0.01232394366197183
PER_LOC: 9	0.01584507042253521
