46469 46469
Precision: 0.5267538644470868
Recall: 0.599053414469236
F-Measure: 0.560582094273964

Output_AnswerKey: ErrorCount	ErrorPercent
LOC_ORG: 11	0.008744038155802861
O_ORG: 170	0.13513513513513514
PER_ORG: 9	0.007154213036565978
LOC_O: 77	0.06120826709062003
O_LOC: 156	0.12400635930047695
O_PER: 136	0.10810810810810811
LOC_PER: 5	0.00397456279809221
PER_O: 275	0.21860095389507153
ORG_LOC: 62	0.0492845786963434
ORG_O: 313	0.24880763116057233
ORG_PER: 27	0.021462639109697933
PER_LOC: 17	0.013513513513513514
