16584 16584
Precision: 0.5233022636484687
Recall: 0.524
F-Measure: 0.5236508994003998

Output_AnswerKey: ErrorCount	ErrorPercent
LOC_ORG: 13	0.020602218700475437
O_ORG: 130	0.20602218700475436
PER_ORG: 14	0.022187004754358162
LOC_O: 24	0.03803486529318542
O_LOC: 52	0.08240887480190175
O_PER: 91	0.14421553090332806
LOC_PER: 3	0.004754358161648178
PER_O: 120	0.1901743264659271
ORG_LOC: 40	0.06339144215530904
ORG_O: 130	0.20602218700475436
ORG_PER: 11	0.017432646592709985
PER_LOC: 3	0.004754358161648178
