46469 46469
Precision: 0.2625272331154684
Recall: 0.48884381338742394
F-Measure: 0.34160170092133235

Output_AnswerKey: ErrorCount	ErrorPercent
LOC_ORG: 14	0.005516154452324665
O_ORG: 148	0.05831363278171789
PER_ORG: 27	0.010638297872340425
LOC_O: 157	0.06185973207249803
O_LOC: 165	0.06501182033096926
O_PER: 194	0.0764381402679275
LOC_PER: 25	0.009850275807722617
PER_O: 742	0.2923561859732072
ORG_LOC: 87	0.034278959810874705
ORG_O: 883	0.3479117415287628
ORG_PER: 52	0.02048857368006304
PER_LOC: 44	0.017336485421591805
