39151 39151
Precision: 0.6437403400309119
Recall: 0.6612423099821393
F-Measure: 0.6523739598629466

Output_AnswerKey: ErrorCount	ErrorPercent
LOC_ORG: 147	0.05398457583547558
O_ORG: 489	0.1795813441057657
PER_ORG: 128	0.047006977598237236
LOC_O: 199	0.07308116048475946
O_LOC: 203	0.07455012853470437
O_PER: 187	0.06867425633492472
LOC_PER: 43	0.01579140653690782
PER_O: 186	0.06830701432243849
ORG_LOC: 214	0.07858979067205288
ORG_O: 631	0.23172970987881014
ORG_PER: 182	0.06683804627249357
PER_LOC: 114	0.04186558942343004
