39151 39151
Precision: 0.8279394644935972
Recall: 0.7056955745187538
F-Measure: 0.7619455753160489

Output_AnswerKey: ErrorCount	ErrorPercent
LOC_ORG: 147	0.08347529812606473
O_ORG: 664	0.37705848949460535
PER_ORG: 93	0.05281090289608177
LOC_O: 77	0.043725156161272004
O_LOC: 211	0.1198182850653038
O_PER: 147	0.08347529812606473
LOC_PER: 21	0.01192504258943782
PER_O: 73	0.04145371947756956
ORG_LOC: 98	0.055650198750709826
ORG_O: 128	0.07268597387847814
ORG_PER: 19	0.010789324247586598
PER_LOC: 83	0.04713231118682567
