46469 46469
Precision: 0.22695035460992907
Recall: 0.43272481406355645
F-Measure: 0.29774366131658525

Output_AnswerKey: ErrorCount	ErrorPercent
LOC_ORG: 20	0.007613247049866768
O_ORG: 137	0.052150742291587365
PER_ORG: 67	0.025504377617053674
LOC_O: 294	0.1119147316330415
O_LOC: 149	0.05671869052150742
O_PER: 161	0.06128663875142749
LOC_PER: 26	0.0098972211648268
PER_O: 728	0.27712219261515036
ORG_LOC: 134	0.05100875523410735
ORG_O: 766	0.2915873620098972
ORG_PER: 57	0.02169775409212029
PER_LOC: 88	0.03349828701941378
