16584 16584
Precision: 0.27053571428571427
Recall: 0.404
F-Measure: 0.3240641711229946

Output_AnswerKey: ErrorCount	ErrorPercent
LOC_ORG: 17	0.014951627088830254
O_ORG: 139	0.12225153913808268
PER_ORG: 16	0.014072119613016711
LOC_O: 48	0.04221635883905013
O_LOC: 68	0.05980650835532102
O_PER: 113	0.09938434476693052
LOC_PER: 12	0.010554089709762533
PER_O: 290	0.25505716798592787
ORG_LOC: 31	0.027264731750219876
ORG_O: 352	0.3095866314863676
ORG_PER: 28	0.024626209322779244
PER_LOC: 23	0.020228671943711522
