19996 20015
Precision: 0.6064311594202898
Recall: 0.2635308010234206
F-Measure: 0.3674029359308547

Output_AnswerKey: ErrorCount	ErrorPercent
LOC_ORG: 226	0.05584383493946133
O_ORG: 1751	0.43266617247343714
PER_ORG: 52	0.012849023968371634
LOC_O: 134	0.033110946380034596
O_LOC: 867	0.21423276501111935
O_PER: 560	0.13837410427477143
LOC_PER: 26	0.006424511984185817
PER_O: 40	0.009883864591055103
ORG_LOC: 72	0.017790956263899184
ORG_O: 131	0.03236965653570546
ORG_PER: 133	0.03286384976525822
PER_LOC: 55	0.013590313812700766
