39151 39151
Precision: 0.5247692597475985
Recall: 0.5528874776741417
F-Measure: 0.5384615384615385

Output_AnswerKey: ErrorCount	ErrorPercent
LOC_ORG: 216	0.06352941176470588
O_ORG: 519	0.1526470588235294
PER_ORG: 431	0.12676470588235295
LOC_O: 414	0.12176470588235294
O_LOC: 173	0.05088235294117647
O_PER: 185	0.054411764705882354
LOC_PER: 105	0.030882352941176472
PER_O: 279	0.08205882352941177
ORG_LOC: 249	0.07323529411764707
ORG_O: 454	0.13352941176470587
ORG_PER: 75	0.022058823529411766
PER_LOC: 300	0.08823529411764706
