15733 15733
Precision: 0.37988165680473374
Recall: 0.4234828496042216
F-Measure: 0.40049906425452275

Output_AnswerKey: ErrorCount	ErrorPercent
LOC_ORG: 0	0.0
O_ORG: 41	0.048292108362779744
PER_ORG: 5	0.005889281507656066
LOC_O: 36	0.04240282685512368
O_LOC: 39	0.045936395759717315
O_PER: 245	0.28857479387514723
LOC_PER: 17	0.020023557126030624
PER_O: 179	0.21083627797408716
ORG_LOC: 15	0.0176678445229682
ORG_O: 197	0.232037691401649
ORG_PER: 72	0.08480565371024736
PER_LOC: 3	0.0035335689045936395
