15733 15733
Precision: 0.2801556420233463
Recall: 0.37994722955145116
F-Measure: 0.322508398656215

Output_AnswerKey: ErrorCount	ErrorPercent
LOC_ORG: 4	0.00375234521575985
O_ORG: 33	0.03095684803001876
PER_ORG: 10	0.009380863039399626
LOC_O: 214	0.20075046904315197
O_LOC: 43	0.040337711069418386
O_PER: 250	0.23452157598499063
LOC_PER: 59	0.055347091932457786
PER_O: 181	0.1697936210131332
ORG_LOC: 11	0.010318949343339587
ORG_O: 201	0.18855534709193245
ORG_PER: 42	0.039399624765478425
PER_LOC: 18	0.016885553470919325
