16584 16584
Precision: 0.21065182829888712
Recall: 0.35333333333333333
F-Measure: 0.2639442231075697

Output_AnswerKey: ErrorCount	ErrorPercent
LOC_ORG: 23	0.017996870109546165
O_ORG: 131	0.10250391236306729
PER_ORG: 46	0.03599374021909233
LOC_O: 201	0.1572769953051643
O_LOC: 59	0.04616588419405321
O_PER: 95	0.07433489827856025
LOC_PER: 30	0.023474178403755867
PER_O: 294	0.2300469483568075
ORG_LOC: 23	0.017996870109546165
ORG_O: 298	0.23317683881064163
ORG_PER: 33	0.025821596244131457
PER_LOC: 45	0.035211267605633804
