46469 46469
Precision: 0.617109634551495
Recall: 0.5023664638269101
F-Measure: 0.5538576220648528

Output_AnswerKey: ErrorCount	ErrorPercent
LOC_ORG: 14	0.013195098963242224
O_ORG: 185	0.17436380772855797
PER_ORG: 9	0.008482563619227144
LOC_O: 39	0.036757775683317624
O_LOC: 226	0.21300659754948162
O_PER: 189	0.17813383600377003
LOC_PER: 9	0.008482563619227144
PER_O: 115	0.10838831291234684
ORG_LOC: 66	0.06220546654099906
ORG_O: 171	0.16116870876531575
ORG_PER: 15	0.01413760603204524
PER_LOC: 23	0.021677662582469368
