19996 20015
Precision: 0.47160957297043643
Recall: 0.19779570950600275
F-Measure: 0.2787021630615641

Output_AnswerKey: ErrorCount	ErrorPercent
LOC_ORG: 309	0.06954760297096556
O_ORG: 1788	0.4024307900067522
PER_ORG: 123	0.027683997299122215
LOC_O: 161	0.03623677695250956
O_LOC: 955	0.21494485707855052
O_PER: 574	0.12919198739590368
LOC_PER: 66	0.014854827819041188
PER_O: 81	0.01823092505064146
ORG_LOC: 74	0.016655413009227998
ORG_O: 125	0.028134143596668916
ORG_PER: 87	0.019581363943281565
PER_LOC: 100	0.022507314877335136
