19996 20015
Precision: 0.7255185721177038
Recall: 0.29600472347962997
F-Measure: 0.42046407604137537

Output_AnswerKey: ErrorCount	ErrorPercent
LOC_ORG: 207	0.05451672372925994
O_ORG: 1767	0.4653673953120885
PER_ORG: 32	0.00842770608375033
LOC_O: 108	0.028443508032657362
O_LOC: 875	0.23044508822754806
O_PER: 586	0.15433236765867792
LOC_PER: 38	0.010007900974453516
PER_O: 11	0.0028970239662891757
ORG_LOC: 25	0.006584145377929945
ORG_O: 101	0.026599947326836976
ORG_PER: 43	0.011324730050039505
PER_LOC: 4	0.0010534632604687912
